"id","ticker","period_ending","quarter","total_revenue","cost_of_revenue","gross_profit","operating_expense","operating_income","net_income","basic_eps","diluted_eps","ebitda","created_at"
112,"NFLX","2024-06-30","2024-Q2","9559310000","5174143000","4385167000","1782330000","2602837000","2147306000","4.9900","4.8800","6532759000","2025-08-17 07:24:08.907432"
113,"NFLX","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:24:08.919489"
114,"ADBE","2025-05-31","2025-Q2","5873000000","638000000","5235000000","3126000000","2109000000","1691000000","3.9500","3.9400","2378000000","2025-08-17 07:24:11.737642"
115,"ADBE","2025-02-28","2025-Q1","5714000000","622000000","5092000000","2929000000","2163000000","1811000000","4.1500","4.1400","2461000000","2025-08-17 07:24:11.764692"
116,"ADBE","2024-11-30","2024-Q4","5606000000","616000000","4990000000","3033000000","1957000000","1683000000","3.8100","3.7900","2259000000","2025-08-17 07:24:11.777987"
117,"ADBE","2024-08-31","2024-Q3","5408000000","554000000","4854000000","2862000000","1992000000","1684000000","3.7800","3.7600","2306000000","2025-08-17 07:24:11.792185"
118,"ADBE","2024-05-31","2024-Q2","5309000000","598000000","4711000000","2826000000","1885000000","1573000000","3.5000","3.4900","2185000000","2025-08-17 07:24:11.808194"
119,"ADBE","2024-02-29","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:24:11.821512"
120,"CRM","2025-04-30","2025-Q2","9829000000","4530000000","7564000000","5586000000","1978000000","1541000000","1.6100","1.5900","2821000000","2025-08-17 07:24:14.741026"
121,"CRM","2025-01-31","2025-Q1","9993000000","4434000000","7776000000","5658000000","2118000000","1708000000",NULL,NULL,"2995000000","2025-08-17 07:24:14.767271"
122,"CRM","2024-10-31","2024-Q4","9444000000","4210000000","7339000000","5390000000","1949000000","1527000000","1.6000","1.5800","2763000000","2025-08-17 07:24:14.781341"
123,"CRM","2024-07-31","2024-Q3","9325000000","4318000000","7166000000","5284000000","1882000000","1429000000","1.4800","1.4700","2789000000","2025-08-17 07:24:14.795542"
124,"CRM","2024-04-30","2024-Q2","9133000000","4324000000","6971000000","5254000000","1717000000","1533000000","1.5800","1.5600","2596000000","2025-08-17 07:24:14.809798"
125,"CRM","2024-01-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,"1.4900","1.4700",NULL,"2025-08-17 07:24:14.821999"
126,"CMCSA","2025-06-30","2025-Q2","30313000000","7576000000","22737000000","16744000000","5993000000","11123000000",NULL,NULL,"19906000000","2025-08-17 07:24:17.758259"
127,"CMCSA","2025-03-31","2025-Q1","29887000000","8415000000","21472000000","15813000000","5659000000","3375000000","0.9014","0.8900","9391000000","2025-08-17 07:24:17.787069"
128,"CMCSA","2024-12-31","2024-Q4","31914000000","10026000000","21888000000","16894000000","4994000000","4777000000","1.2614","1.2400","8476000000","2025-08-17 07:24:17.80046"
